,classifier,classifier__C,classifier__penalty,classifier__solver,Accuracy,Precision,ROC AUC,F1,class_weight,criterion,max_features,n_estimators,n_jobs,Accuracy,Precision,ROC AUC,F1,classifier,classifier__criterion,classifier__min_samples_leaf,classifier__splitter,Accuracy,Precision,ROC AUC,F1
2,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-06,l1,saga,0.3534,0.2044,0.5,0.3256071256375771,balanced,gini,4.0,1024.0,-1.0,0.837,0.7203032263328628,0.8917683172512618,0.6509806905957893,DecisionTreeClassifier(class_weight='balanced'),gini,4.0,best,0.7954000000000001,0.5805179984643349,0.8244769266117359,0.6436553470452877
3,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1e-05,l1,saga,0.3534,0.2044,0.5,0.3256071256375771,balanced,gini,6.0,1024.0,-1.0,0.8373999999999999,0.7208835565364692,0.8944127561218792,0.6521163322482726,DecisionTreeClassifier(class_weight='balanced'),gini,6.0,best,0.786,0.5599834074370186,0.8353402787174351,0.6456267788117644
4,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.0001,l1,saga,0.4514,0.1534,0.5,0.24433222523917072,balanced,gini,8.0,1024.0,-1.0,0.8404,0.7274548783863993,0.8956503718290871,0.6587360643244689,DecisionTreeClassifier(class_weight='balanced'),gini,8.0,best,0.7888,0.5671060706547275,0.8439657950619696,0.6413227451916647
5,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.001,l1,saga,0.3529999999999999,0.2042,0.5,0.3253533636156013,balanced,gini,12.0,1024.0,-1.0,0.8451999999999998,0.7375291052813553,0.8986241317730951,0.6701605045885364,DecisionTreeClassifier(class_weight='balanced'),gini,10.0,best,0.7816000000000001,0.5530627704546859,0.8502220252976569,0.6421306768389667
6,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.01,l1,saga,0.7916000000000001,0.5614512478723326,0.8916417530781189,0.676267942704156,balanced,gini,16.0,1024.0,-1.0,0.8443999999999999,0.73281905217218,0.8991844629055075,0.6704756296588956,DecisionTreeClassifier(class_weight='balanced'),gini,12.0,best,0.7862,0.5593972494372956,0.8612266574247487,0.6490831677935247
7,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",0.1,l1,saga,0.8026,0.577988531063274,0.9029044557821301,0.6868783928784239,balanced,gini,20.0,1024.0,-1.0,0.8443999999999999,0.7354357872606766,0.9001573974792816,0.6690534294694168,DecisionTreeClassifier(class_weight='balanced'),gini,14.0,best,0.7864000000000001,0.5579722827721652,0.8679445408892272,0.6545273738995514
8,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1.0,l1,saga,0.8062000000000001,0.5840647592237025,0.9037598963341154,0.6898504549009126,balanced,entropy,1.0,1024.0,-1.0,0.8308,0.7140298614656568,0.88554148689085,0.6320355563283463,DecisionTreeClassifier(class_weight='balanced'),gini,16.0,best,0.7882,0.5597085454061542,0.8745867241674015,0.6606229694908812
9,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",10.0,l1,saga,0.8086,0.5883205655190809,0.9023218448104643,0.6919983657337739,balanced,entropy,2.0,1024.0,-1.0,0.8329999999999999,0.7153718302807311,0.8883344967646819,0.6394474689698718,DecisionTreeClassifier(class_weight='balanced'),gini,18.0,best,0.791,0.562902619683379,0.8764868417583462,0.6657899975645503
10,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",100.0,l1,saga,0.8076000000000001,0.5872073069977208,0.9012603674009793,0.690143733441684,balanced,entropy,4.0,1024.0,-1.0,0.837,0.7216941670659918,0.8928250734043821,0.6504417601244569,DecisionTreeClassifier(class_weight='balanced'),gini,20.0,best,0.7926000000000001,0.5650443292352103,0.8815363386182101,0.6698566380007845
11,"LogisticRegression(class_weight='balanced', max_iter=5000, n_jobs=-1)",1000.0,l1,saga,0.8076000000000001,0.5872073069977208,0.9010510769767828,0.690143733441684,balanced,entropy,6.0,1024.0,-1.0,0.841,0.7263674657245707,0.8954372514246755,0.6622064510672535,DecisionTreeClassifier(class_weight='balanced'),entropy,1.0,best,0.8044,0.6135867769900036,0.7482581881529403,0.623251652073993
